ABISKO Ö ,AK
AGNESBERG ,AGB
AITIK ,AIK
ALBY ,AY
ALEHOLM ,AHM
ALGUTSGÅRDEN ,AGG
ALINGSÅS ,A
ALMEDAL ,AM
ALMNÄS ,ALÄ
ALNABRU ,XALG
ALVESTA ,AV
ALVHEM ,ALH
ALVÄNG ,AÄ
ANKARSRUM ,AKM
ANUNDSJÖ ,ANÖ
APTAS ,APT
ARBOGA ,ARB
ARBRÅ ,AB
ARLANDA C ,ARNC
ARLANDA N ,ARNN
ARLANDA NEDRE ,ARNE
ARLANDA S ,ARNS
ARLÖV ,AL
ARNEMARK ,AMK
ARNÄSVALL ,ARA
ARVIDSJAUR ,AJR
ARVIKA ,AR
ASPEÅ ,AP
ATTARP ,ATP
AVAFORS ,AVS
AVESTA KRYLBO ,AVKY
AXMARBY ,AX
BACKSJÖN ,BAÖ
BAGGETORP ,BT
BANKERYD ,BRY
BARKARBY ,BKB
BARVA ,BVA
BASTUTRÄSK ,BST
BENGTSFORS ,BEF
BENSJÖBACKEN ,BSB
BERGA ,BG
BERGEN ,XBRG
BERGFORS ,BFS
BERLIN HBF ,ZBLN
BILLEBERGA ,BIB
BILLESHOLM ,BIH
BILLINGSFORS ,BFO
BIRSTA ,BIA
BISKOPSTORP ,BTP
BISPGÅRDEN ,BSG
BJURHEM ,BJH
BJUV ,BJUV
BJÄRKA SÄBY ,BSÄ
BJÄSTA ,BJA
BJÖRBO ,BÖO
BJÖRKLIDEN ,BLN
BJÖRNA ,BJ
BJÖRNEBORG ,BJB
BJÖRNFJELL ,BJF
BJÖRNKULLA ,BJN
BJÖRNLUNDA ,B
BJÖRNSJÖ ,BJÖ
BLACKVRETEN ,BVR
BLOMSTERMÅLA ,BMA
BLÄDINGE ,BLD
BODA ,BODA
BODEN C ,BDN
BODEN S ,BDS
BODSJÖN ,BÖN
BOFORS ,BOF
BOHUS ,BHS
BOLLNÄS ,BN
BOMANSBERGET ,BOM
BOR ,BOR
BORLÄNGE C ,BLG
BORÅS C ,BS
BOXHOLM ,BX
BRATTBY ,BBY
BRATTBY ,BTB
BRATTHEDEN ,BRH
BRATTSBACKA ,BRS
BREDSJÖ ,BRÖ
BREDVIKEN ,BEN
BRISTA ,BRA
BRO ,BRO
BRO NYGÅRD ,BRNY
BRODDBO ,BDO
BROMÖLLA ,BML
BRUNFLO ,BF
BRUNNA ,BNA
BRYNGENÄS ,BGS
BRÄCKE ,BÄ
BRÄKNE-HOBY ,BHB
BRÄNNARP ,BP
BRÄNNBERG ,BRG
BRÄNNINGE ,BRE
BRÄNNLAND ,BRD
BRÅGARP ,BÅP
BRÅLANDA ,BRL
BUDDBYN ,BUD
BYVALLA ,BY
BÄCKEBRON ,BÄB
BÄCKEFORS ,BÄF
BÄLGVIKEN ,BGV
BÅLSTA ,BÅL
BÅSTAD N ,BÅN
CHARLOTTENBERG ,CG
DAGARN ,DN
DAGLÖSEN ,DGÖ
DALA-JÄRNA ,DJ
DALGRÄNSEN ,DGN
DALS LÅNGED ,DLD
DAMMSTORP ,DAT
DANNEMORA ,DMA
DEGERBÄCKEN ,DBN
DEGERFORS ,DG
