train,depdate,deptime,arrdate,arrtime,from,to,km
91873,2010-11-17,00:01:00,2010-11-17,00:34:00,U,CST,65.6
2780,2010-11-17,00:02:00,2010-11-17,01:26:00,SÖC,MR,73.4
91970,2010-11-17,00:03:00,2010-11-17,00:17:00,CST,HGL,6.4
2781,2010-11-17,00:04:00,2010-11-17,00:40:00,MR,CST,36.6
3001,2010-11-17,00:17:00,2010-11-17,00:42:00,G,KB,27.7
3500,2010-11-17,00:17:00,2010-11-17,00:56:00,G,A,45.2
91874,2010-11-17,00:44:00,2010-11-17,00:58:00,CST,HGL,6.4
3002,2010-11-17,00:47:00,2010-11-17,01:12:00,KB,G,27.7
8478,2010-11-17,00:50:00,2010-11-17,02:30:00,UPV,GÄ,159.3
1137,2010-11-17,02:22:00,2010-11-17,03:05:00,M,ZKK,50.1
80072,2010-11-17,03:25:00,2010-11-17,03:39:00,HGL,CST,6.4
51,2010-11-17,03:34:00,2010-11-17,06:19:00,FLN,CST,253.7
8405,2010-11-17,03:40:00,2010-11-17,05:10:00,GÄ,UPV,159.3
90509,2010-11-17,03:44:00,2010-11-17,06:18:00,HGL,LP,232.0
83102,2010-11-17,03:52:00,2010-11-17,05:56:00,NR,CST,162.2
72,2010-11-17,04:09:00,2010-11-17,05:26:00,CST,JBK,159.4
1005,2010-11-17,04:22:00,2010-11-17,05:44:00,M,ZHG,93.2
99108,2010-11-17,04:25:00,2010-11-17,04:41:00,F,SK,30.5
980,2010-11-17,04:30:00,2010-11-17,05:12:00,HPBG,JBK,68.2
8407,2010-11-17,04:35:00,2010-11-17,05:40:00,TIP,UPV,107.0
90519,2010-11-17,04:36:00,2010-11-17,04:50:00,HGL,CST,6.4
17322,2010-11-17,04:44:00,2010-11-17,05:27:00,CK,EM,56.4
17381,2010-11-17,04:47:00,2010-11-17,05:13:00,MSL,ÖK,28.6
3019,2010-11-17,04:47:00,2010-11-17,05:12:00,G,KB,27.7
3517,2010-11-17,04:48:00,2010-11-17,05:27:00,A,G,45.2
7202,2010-11-17,04:49:00,2010-11-17,06:49:00,N,T,181.9
109,2010-11-17,04:50:00,2010-11-17,06:17:00,SK,G,144.5
91807,2010-11-17,04:51:00,2010-11-17,05:05:00,HGL,CST,6.4
12081,2010-11-17,04:55:00,2010-11-17,05:59:00,VÅ,U,100.3
322,2010-11-17,05:00:00,2010-11-17,09:01:00,KAC,G,350.9
3201,2010-11-17,05:00:00,2010-11-17,05:19:00,UV,VG,26.2
98703,2010-11-17,05:00:00,2010-11-17,05:34:00,LP,TNS,68.8
2704,2010-11-17,05:02:00,2010-11-17,06:26:00,SÖC,MR,73.4
2705,2010-11-17,05:04:00,2010-11-17,06:25:00,MR,SÖC,73.4
9583,2010-11-17,05:05:00,2010-11-17,05:11:00,ZKH,ZKK,3.1
8409,2010-11-17,05:05:00,2010-11-17,06:10:00,TIP,UPV,107.0
906,2010-11-17,05:06:00,2010-11-17,06:09:00,ET,CST,115.0
218,2010-11-17,05:06:00,2010-11-17,07:20:00,LP,CST,208.7
420,2010-11-17,05:07:00,2010-11-17,08:35:00,G,CST,454.8
90401,2010-11-17,05:08:00,2010-11-17,05:52:00,HGL,CST,6.4
561,2010-11-17,05:08:00,2010-11-17,08:30:00,SUC,CST,403.0
3822,2010-11-17,05:10:00,2010-11-17,05:42:00,BS,HR,42.7
522,2010-11-17,05:11:00,2010-11-17,09:39:00,M,CST,614.7
7201,2010-11-17,05:11:00,2010-11-17,06:24:00,F,N,112.6
90802,2010-11-17,05:12:00,2010-11-17,05:26:00,HGL,CST,6.4
981,2010-11-17,05:12:00,2010-11-17,05:40:00,JBK,ET,46.4
7093,2010-11-17,05:15:00,2010-11-17,06:31:00,GÄ,SL,127.7
91808,2010-11-17,05:15:00,2010-11-17,05:53:00,CST,U,65.6
3520,2010-11-17,05:17:00,2010-11-17,05:56:00,G,A,45.2
3720,2010-11-17,05:17:00,2010-11-17,05:53:00,G,SNU,47.2
3020,2010-11-17,05:17:00,2010-11-17,05:42:00,KB,G,27.7
3021,2010-11-17,05:17:00,2010-11-17,05:42:00,G,KB,27.7
90421,2010-11-17,05:18:00,2010-11-17,06:02:00,HGL,CST,6.4
422,2010-11-17,05:20:00,2010-11-17,09:50:00,HD,CST,602.7
8400,2010-11-17,05:20:00,2010-11-17,06:25:00,UPV,TIP,107.0
519,2010-11-17,05:21:00,2010-11-17,09:46:00,CST,M,614.7
484,2010-11-17,05:22:00,2010-11-17,09:05:00,ZKK,G,372.2
3815,2010-11-17,05:24:00,2010-11-17,07:24:00,UV,BS,133.3
618,2010-11-17,05:25:00,2010-11-17,07:16:00,HPBG,CST,196.5
3202,2010-11-17,05:25:00,2010-11-17,05:30:00,VG,ÖX,3.7
90451,2010-11-17,05:25:00,2010-11-17,06:05:00,HGL,CST,6.4
73,2010-11-17,05:26:00,2010-11-17,08:37:00,JBK,G,326.5
423,2010-11-17,05:26:00,2010-11-17,10:17:00,GÄ,G,638.4
90521,2010-11-17,05:29:00,2010-11-17,06:13:00,HGL,CST,6.4
3424,2010-11-17,05:30:00,2010-11-17,06:37:00,BS,G,71.9
8701,2010-11-17,05:30:00,2010-11-17,06:12:00,LP,TNS,68.8
8413,2010-11-17,05:30:00,2010-11-17,07:10:00,GÄ,UPV,159.3
710,2010-11-17,05:30:00,2010-11-17,06:12:00,HPBG,JBK,68.2
91010,2010-11-17,05:31:00,2010-11-17,05:45:00,HGL,CST,6.4
3203,2010-11-17,05:31:00,2010-11-17,06:28:00,ÖX,G,80.6
10011,2010-11-17,05:32:00,2010-11-17,08:16:00,FLN,CST,253.7
2706,2010-11-17,05:32:00,2010-11-17,06:56:00,SÖC,MR,73.4
3213,2010-11-17,05:32:00,2010-11-17,06:35:00,ÅL,VG,86.6
3173,2010-11-17,05:32:00,2010-11-17,05:57:00,G,KB,27.7
90708,2010-11-17,05:33:00,2010-11-17,05:47:00,HGL,CST,6.4
3519,2010-11-17,05:33:00,2010-11-17,06:12:00,A,G,45.2
2707,2010-11-17,05:34:00,2010-11-17,06:55:00,MR,SÖC,73.4
3522,2010-11-17,05:34:00,2010-11-17,06:13:00,G,A,45.2
90213,2010-11-17,05:34:00,2010-11-17,05:50:00,GÄ,SNV,22.7
2102,2010-11-17,05:35:00,2010-11-17,05:44:00,VÅ,KBÄ,19.3
8411,2010-11-17,05:35:00,2010-11-17,06:40:00,TIP,UPV,107.0
