vehicle,category,pool
1328,Fordon,RC6-P
1329,Fordon,RC6-P
1330,Fordon,RC6-P
1331,Fordon,RC6-P
1332,Fordon,RC6-P
1333,Fordon,RC6-P
1334,Fordon,RC6-P
1335,Fordon,RC6-P
1336,Fordon,RC6-P
1337,Fordon,RC6
1338,Fordon,RC6
1339,Fordon,RC6
1340,Fordon,RC6B
1341,Fordon,RC6
1342,Fordon,RC6
1343,Fordon,RC6
1344,Fordon,RC6
1345,Fordon,RC6
1346,Fordon,RC6
1347,Fordon,RC6
1348,Fordon,RC6U
1349,Fordon,RC6U
1350,Fordon,RC6U
1351,Fordon,RC6U
1352,Fordon,RC6U
1353,Fordon,RC6U
1354,Fordon,RC6U
1355,Fordon,RC6U
1356,Fordon,RC6U
1357,Fordon,RC6U
1358,Fordon,RC6U
1359,Fordon,RC6U
1360,Fordon,RC6U
1361,Fordon,RC6U
1362,Fordon,RC6U
1363,Fordon,RC6U
1364,Fordon,RC6U
1365,Fordon,RC6U
1366,Fordon,RC6U
1367,Fordon,RC6U
1368,Fordon,RC6U
1369,Fordon,RC6U
1370,Fordon,RC6U
1371,Fordon,RC6U
1372,Fordon,RC6U
1373,Fordon,RC6U
1374,Fordon,RC6U
1375,Fordon,RC6U
1376,Fordon,RC6U
1377,Fordon,RC6U
1378,Fordon,RC6U
1379,Fordon,RC6U
1380,Fordon,RC6U
1381,Fordon,RC6U
1382,Fordon,RC6U
1383,Fordon,RC6N
1384,Fordon,RC6N
1385,Fordon,RC6N
1386,Fordon,RC6N
1387,Fordon,RC6N
1388,Fordon,RC6N
1389,Fordon,RC6N
1390,Fordon,RC6N
1391,Fordon,RC6N
1392,Fordon,RC6N
1393,Fordon,RC6N
1394,Fordon,RC6N
1395,Fordon,RC6
1396,Fordon,RC6-E
1397,Fordon,RC6
1398,Fordon,RC6
1399,Fordon,RC6
1400,Fordon,RC6-E
1401,Fordon,RC6
1402,Fordon,RC6
1403,Fordon,RC6
1404,Fordon,RC6
1405,Fordon,RC6B
1406,Fordon,RC6
1407,Fordon,RC6B
1408,Fordon,RC6
1409,Fordon,RC6B
1410,Fordon,RC6
1411,Fordon,RC6
1412,Fordon,RC6
1413,Fordon,RC6
1414,Fordon,RC6
1415,Fordon,RC6
1416,Fordon,RC6
1417,Fordon,RC6
1418,Fordon,RC6
1419,Fordon,RC6
1420,Fordon,RC6
1421,Fordon,RC6
1422,Fordon,RC6
2001,Fordon,X2_5
2002,Fordon,X2_6
2003,Fordon,X2_6
2004,Fordon,X2_6
2005,Fordon,X2_6
2006,Fordon,X2_5
2007,Fordon,X2_5
2008,Fordon,X2_6
2009,Fordon,X2_6
2010,Fordon,X2_5
2011,Fordon,X2_5
2012,Fordon,X2_6
2013,Fordon,X2_6
2014,Fordon,X2_6
2015,Fordon,X2_5
2016,Fordon,X2_5
2017,Fordon,X2_5
2018,Fordon,X2_5
2019,Fordon,X2_5
2020,Fordon,X2_5
2021,Fordon,X2_6
2022,Fordon,X2_6
2023,Fordon,X2_5
2024,Fordon,X2_6
2025,Fordon,X2_5
2026,Fordon,X2_6
2027,Fordon,X2_5
2028,Fordon,X2_6
2029,Fordon,X2_5
2030,Fordon,X2_5
2031,Fordon,X2_5K
2032,Fordon,X2_6K
2033,Fordon,X2_5K
2034,Fordon,X2_6K
2035,Fordon,X2_5
2036,Fordon,X2_5K
2037,Fordon,X2_5K
2038,Fordon,X2_6K
2039,Fordon,X2_6K
2040,Fordon,X2_6K
2041,Fordon,X2_5K
2042,Fordon,X2_6K
2043,Fordon,X2_5K
3139,Fordon,X11
3140,Fordon,X11
3141,Fordon,X11
3142,Fordon,X11
3143,Fordon,X11
3144,Fordon,X11
3145,Fordon,X11
3146,Fordon,X11
3147,Fordon,X11
3171,Fordon,X11
3172,Fordon,X11
3182,Fordon,X11
3183,Fordon,X11
3190,Fordon,X14
3191,Fordon,X12
3192,Fordon,X12
3193,Fordon,X12
3194,Fordon,X12
3195,Fordon,X12
3196,Fordon,X12
3197,Fordon,X12
3204,Fordon,X11
3205,Fordon,X11
3206,Fordon,X11
3207,Fordon,X11
3208,Fordon,X11
3209,Fordon,X11
3210,Fordon,X11
3211,Fordon,X11
3212,Fordon,X11
3213,Fordon,X11
3214,Fordon,X12
3215,Fordon,X12
3216,Fordon,X12
3217,Fordon,X12
3218,Fordon,X12
3219,Fordon,X12
3220,Fordon,X12
3221,Fordon,X12
3222,Fordon,X12
3223,Fordon,X14
3224,Fordon,X14
3225,Fordon,X14
3226,Fordon,X14
3227,Fordon,X14
3228,Fordon,X14
3229,Fordon,X14
3230,Fordon,X14
3231,Fordon,X14
3232,Fordon,X14
3233,Fordon,X14
3234,Fordon,X14
3235,Fordon,X14
3236,Fordon,X14
3237,Fordon,X14
3238,Fordon,X14
3239,Fordon,X14
3240,Fordon,X14
3241,Fordon,X14
3262,Fordon,X53_3
3263,Fordon,X53_3
3264,Fordon,X53_3
3265,Fordon,X53_3
3266,Fordon,X53_3
3267,Fordon,X53_3
3289,Fordon,X50_3
3290,Fordon,X50_3
3291,Fordon,X50_3
3292,Fordon,X50_3
3293,Fordon,X50_3
3294,Fordon,X50_3
3295,Fordon,X50_3
3296,Fordon,X50_3
3301,Fordon,X40
3302,Fordon,X40
3303,Fordon,X40
3304,Fordon,X40
3305,Fordon,X40
3306,Fordon,X40
3307,Fordon,X40
3308,Fordon,X40
3309,Fordon,X40
3310,Fordon,X40
3311,Fordon,X40-3
3312,Fordon,X40-3
3313,Fordon,X40-3
3314,Fordon,X40-3
3315,Fordon,X40-3
3316,Fordon,X40-3
3317,Fordon,X40-3
3318,Fordon,X40-3
3319,Fordon,X40-3
3320,Fordon,X40-3
3321,Fordon,X40-3
3322,Fordon,X40-3
3323,Fordon,X40-3
3324,Fordon,X40-3
3325,Fordon,X40-3
3326,Fordon,X40-3
3327,Fordon,X40-3
3328,Fordon,X40-3
3329,Fordon,X40-3
3330,Fordon,X40-3
3331,Fordon,X40-3
3332,Fordon,X40-3
3333,Fordon,X40-3
3334,Fordon,X40-3
3335,Fordon,X40-3
3336,Fordon,X40-3
3337,Fordon,X40-3
3338,Fordon,X40
3339,Fordon,X40
3340,Fordon,X40
3341,Fordon,X40
3342,Fordon,X40
4332,Fordon,X31K
4333,Fordon,X31K
4334,Fordon,X31K
4335,Fordon,X31K
4336,Fordon,X31K
9001,Fordon,X50
9002,Fordon,X50
9003,Fordon,X50
9004,Fordon,X50
9016,Fordon,X52
9017,Fordon,X52
9032,Fordon,X52
9033,Fordon,X52
9035,Fordon,X52
9037,Fordon,X52
9038,Fordon,X52
9040,Fordon,X52
9041,Fordon,X52
9043,Fordon,X52_3
9044,Fordon,X52_3
9051,Fordon,X52
9052,Fordon,X52
9053,Fordon,X52
9054,Fordon,X52
9055,Fordon,X52
9062,Fordon,X52
9062,Fordon,X52-E
9063,Fordon,X52
9064,Fordon,X52
9065,Fordon,X52
2501,Vagn,UB2X
2502,Vagn,UB2X
2503,Vagn,UB2X
2504,Vagn,UB2X
2506,Vagn,UB2X
2507,Vagn,UB2X
2508,Vagn,UB2X
2509,Vagn,UB2X
2510,Vagn,UB2X
2511,Vagn,UB2X
2512,Vagn,UB2X
2513,Vagn,UB2X
2514,Vagn,UB2X
2515,Vagn,UB2X
2516,Vagn,UB2X
2517,Vagn,UB2X
2518,Vagn,UB2X
2519,Vagn,UB2X
2520,Vagn,UB2X
2521,Vagn,UB2X
2522,Vagn,UB2X
2523,Vagn,UB2XK
2524,Vagn,UB2X
2525,Vagn,UB2X
2526,Vagn,UB2X
2527,Vagn,UB2XK
2528,Vagn,UB2X
2529,Vagn,UB2X
2530,Vagn,UB2X
2531,Vagn,UB2XK
2532,Vagn,UB2X
2533,Vagn,UB2XK
2534,Vagn,UB2XK
2535,Vagn,UB2X
2536,Vagn,UB2X
2537,Vagn,UB2X
2538,Vagn,UB2XK
2539,Vagn,UB2XK
2540,Vagn,UB2XK
2541,Vagn,UB2XK
2542,Vagn,UB2XK
2543,Vagn,UB2XK
2544,Vagn,UB2XK
